year,rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
2023,1,Connecticut,BE,31-8,121.47865251282678,3,91.20937434953066,9,0.964280311,1,31,8,13,7,13-7,0.7065881944493994,0.5019260246034417,0.7492342456157061,0.7065881944493994,0.5019260246034417,0.7492342456157061,0.6780967471212539,0.7929986367269464,108.78101416034151,99.04514722,108.78101416034151,99.04514722,117.7207386626942,94.73894709266736,120.11357238302642,89.01644623773936,0.9690993759860266,18,-0.046349681,1513,1367,1355.65,1.1160697820233838,1.0083723674989855,0,0.65,5.033487863153128,13,280,66.72789413345373
2023,2,Alabama,SEC,31-6,116.08134182224175,15,89.02786823,3,0.9548442146078752,2,31,6,16,2,16-2,0.7388879375658125,0.7037097047487783,0.7485799639209746,0.7388879375658125,0.7037097047487783,0.7485799639209746,0.6615262110933692,0.6523203026248547,110.05836160460102,98.36036861397656,110.05836160460102,98.36036861397656,117.91898647941294,87.86286801229052,112.6048186,89.79516704589493,0.9310584860200282,19,0.041607843,1495,1198,1321.825,1.1310120477370302,0.906322698,0,0.8888888888888888,10.193388554789603,1,89,72.55142756652913
2023,3,Houston,Amer,33-4,117.30710068290252,13,90.26847979174217,5,0.9531615483033532,3,33,4,17,1,17-1,0.6238630395789386,0.5309681683785233,0.6501121487437789,0.6238630395789386,0.5309681683785233,0.6501121487437789,0.7582018727813784,0.7864290099457573,107.20141033100364,101.30907361578971,107.20141033100364,101.30907361578971,122.07297664403066,94.698969,119.37871158824912,91.76059650034738,0.9537286422362816,12,0.031734279,1392,1104,1164.8625,1.1949908250973829,0.947751344,0,0.9444444444444444,8.046212976878556,5,111,63.35924447478427
2023,4,UCLA,P12,31-6,114.91465805501728,23,88.48160108951257,2,0.952846421,4,31,6,18,2,18-2,0.6960603085403854,0.5269242687847501,0.7567622865599002,0.6960603085403854,0.5269242687847501,0.7567622865599002,0.7060355258048779,0.807142745,108.91176510054056,99.54468811630308,108.91176510054056,99.54468811630308,112.53352813567406,87.39664362906815,113.0936372855961,89.30571244200095,0.9379486360374992,16,0.011676314,1400,1186,1311.5499999999995,1.067439289390416,0.9042735694407382,0,0.9,8.403142557862946,4,152,66.07164775419187
2023,5,Tennessee,SEC,25-11,111.21149539789025,57,87.52919111867128,1,0.9401279456864378,5,25,11,11,7,7-Nov,0.689965179,0.57035121,0.7481003553209681,0.689965179,0.57035121,0.7481003553209681,0.7059552870270089,0.7577173774893476,108.77960088841807,99.75572681,108.77960088841807,99.75572681,112.46359681805347,88.97587535929614,108.47644400802322,85.44590499987426,0.9396002705552352,15,-0.097680173,1250,1077,1163.4125,1.0744254509900832,0.9257249685730556,0,0.6111111111111112,2.8100459750675686,25,349,65.14669625637012
2023,6,Texas,B12,29-9,116.05752424373664,16,91.76055269431646,10,0.93710861,6,29,9,12,6,6-Dec,0.7435345822716858,0.5248097362858657,0.8627572141451068,0.7435345822716858,0.5248097362858657,0.8627572141451068,0.6522517260155462,0.8012929376300385,110.60024916829042,98.90823264402783,110.60024916829042,98.90823264402783,115.61246837055413,94.80096668579162,115.99563873452117,92.23123053380226,0.9331689598670404,25,0.022597023,1368,1301,1281.2499999999998,1.067707317073171,1.0154146341463417,0,0.6666666666666666,7.535287631785032,8,131,68.48438920120009
2023,7,Purdue,B10,29-6,117.87095446238692,10,93.71080418952609,21,0.9332572186963096,7,29,6,15,5,15-5,0.7027561267078598,0.5459544012047393,0.7884665262154132,0.7027561267078598,0.5459544012047393,0.7884665262154132,0.6974520747324703,0.7753464343086143,109.7395329826491,100.30503012663284,109.7395329826491,100.30503012663284,118.43905270763103,93.43339068758954,119.8152567344549,93.65262764822091,0.9444397165718624,17,0.05849259,1418,1282,1274.25,1.1128114577202275,1.0060820090249163,0,0.75,9.390471560561457,3,53,63.927145564824755
2023,8,Arizona,P12,28-7,119.35198535215564,6,95.41287260343292,34,0.9291977025319842,8,28,7,14,6,14-6,0.6875288433679096,0.5895469156999111,0.7162251975706393,0.6875288433679096,0.5895469156999111,0.7162251975706393,0.7066616547370013,0.7590732824573511,107.22667090611434,98.19356963712973,107.22667090611434,98.19356963712973,116.74989959971236,96.17639421370517,117.2840914,91.89093835434092,0.9429971544953324,13,0.03486416,1551,1419,1423.5500000000002,1.0895296968845491,0.9968037652348002,0,0.7,7.571039020417238,7,101,72.16694034889838
2023,9,Gonzaga,WCC,31-6,123.16706689157644,1,98.98630075561414,78,0.9250788481606336,9,31,6,14,2,14-2,0.6620908553339188,0.6115810441115348,0.6433812634707222,0.6620908553339188,0.6115810441115348,0.6433812634707222,0.7128568553514931,0.7178113126824986,110.0323066330699,100.79496631564946,110.0323066330699,100.79496631564946,125.50042138445008,101.5925878434602,118.7107845970646,93.85789001917264,0.9371118986227788,13,0.079603494,1431,1216,1153.7125,1.2403436731421391,1.0539887536973034,0,0.875,6.644824802582276,9,28,70.12248278177645
2023,10,Saint Mary's,WCC,27-8,112.06098676029907,44,90.48392804092106,6,0.9212545976065438,10,27,8,14,2,14-2,0.6476016802927255,0.5980415488466605,0.640359729,0.6476016802927255,0.5980415488466605,0.640359729,0.7596654974208177,0.8046545862040584,109.7908006097104,101.7555423677708,109.7908006097104,101.7555423677708,114.74334858683665,90.30475576637424,108.67898839233165,88.82535054,0.9105080010884408,7,-0.023637249,1183,970,1026.0374999999997,1.152979301438788,0.94538455,0,0.875,3.4045392144959252,23,226,61.90255686988404
